"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1197","test_ninja123[chrome]","","2026-06-09","passed","2026-06-09","TestLogin","test_SampleFile","",""
"","3017","test_ninja[firefox]","","2026-06-09","passed","2026-06-09","TestLogin","test_SampleFile","",""
"","826","test_ninja[edge]","","2026-06-09","passed","2026-06-09","TestLogin","test_SampleFile","",""
"","1696","test_ninja1235555","","2026-06-09","failed","2026-06-09","TestLogin","test_SampleFile","",""
"","1816","test_ninja1235555[firefox]","","2026-06-09","failed","2026-06-09","TestLogin","test_SampleFile","",""
"","1693","test_ninja1235555[chrome]","","2026-06-09","failed","2026-06-09","TestLogin","test_SampleFile","",""
"","926","test_ninja123","","2026-06-09","passed","2026-06-09","TestLogin","test_SampleFile","",""
"","1882","test_ninja123[firefox]","","2026-06-09","passed","2026-06-09","TestLogin","test_SampleFile","",""
"","1680","test_ninja","","2026-06-09","passed","2026-06-09","TestLogin","test_SampleFile","",""
"","1412","test_ninja123[edge]","","2026-06-09","passed","2026-06-09","TestLogin","test_SampleFile","",""
"","949","test_ninja[chrome]","","2026-06-09","passed","2026-06-09","TestLogin","test_SampleFile","",""
"","1577","test_ninja1235555[edge]","","2026-06-09","failed","2026-06-09","TestLogin","test_SampleFile","",""
